Date,Day of the Week,Amount,Description,Category ,Method of Payment,
01/26/2024,Friday,10.25,Boba,Food,Credit,want 
01/27/2024,Saturday,8.66,Black Long-sleeve,Entertainment and Recreation,Cash,want 
01/27/2024,Saturday,16.21,Skincare,Entertainment and Recreation,Cash,want 
01/27/2024,Saturday,15.27,2 pack shirts ,Entertainment and Recreation,Cash,want 
01/27/2024,Saturday,14.17,Toothpaste ,Entertainment and Recreation,Credit,need
01/27/2024,Saturday,2.49,Hot Fries,Food,Credit,want 
01/27/2024,Saturday,7.25,Boba,Food,Credit,want 
01/29/2024,Monday,25.79,Paris Baguette ,Food,Credit,want 
01/30/2024,Tuesday,39.99,Gas,Entertainment and Recreation,Credit,need
01/30/2024,Tuesday,4.78,Target,Food,Credit,need
01/30/2024,Tuesday,14.96,Trader Joe's,Food,Credit,need
01/31/2024,Wednesday,21.89,Paris Baguette ,Food,Credit,need
02/02/2024,Friday,26.20,Paris Baguette ,Food,Debit,need
02/02/2024,Friday,5.49,Color Me Mine,Entertainment and Recreation,Cash,want 